"Stations_id","Referenzjahr","Qualitaetsniveau","Objekt_id","Phase_id","Eintrittsdatum","Eintrittsdatum_QB","Date","Year","Month","Day","rad_global_apr","soil_moist_apr","precip_apr","temp_max_apr","temp_min_apr","Bundesland","Hoehe","Lon","Lat","Naturraumgruppe","Stationsname","Apfelbluete"
11396,2024,10,311,5,20240411,1,2024-04-11,2024,4,11,123.425354003906,83.8433074951172,55.3579864501953,16.0016998291016,4.41689033508301,"Bayern",400,11.9333,49.0167,"Fränkische Alb (Frankenalb) ","Nittendorf-Loch ",101
11406,2023,10,311,5,20230427,1,2023-04-27,2023,4,27,116.026802062988,97,50.1163368225098,13.1883666992188,3.09998149871826,"Bayern",332,12.2,48.9833,"Unterbayerisches Hügelland","Neutraubling",117
11406,2024,10,311,5,20240405,1,2024-04-05,2024,4,5,126.452926635742,81,44.116153717041,17.2883666992187,4.89991111755371,"Bayern",332,12.2,48.9833,"Unterbayerisches Hügelland","Neutraubling",95
11413,2024,10,311,5,20240414,1,2024-04-14,2024,4,14,125.805335998535,86.4533386230469,79.7251510620117,15.1232345581055,3.49839134216309,"Bayern",570,12.4833,49.1,"Oberpfälzer und Bayerischer Wald","Falkenstein/Oberpf. ",104
11448,2024,10,311,5,20240415,1,2024-04-15,2024,4,15,121.854019165039,88.3288116455078,86.9735794067383,13.3422912597656,3.5344367980957,"Bayern",630,12.4167,49.55,"Oberpfälzer und Bayerischer Wald","Rückersrieth",105
11472,2023,10,311,5,20230427,1,2023-04-27,2023,4,27,115.932830810547,96,53.5649223327637,12.2212753295898,2.30009174346924,"Bayern",310,11.0167,49.9167,"Fränkisches Keuper-Lias-Land","Litzendorf",117
11472,2024,10,311,5,20240408,1,2024-04-08,2024,4,8,119.806838989258,82,66.5649185180664,15.6212753295898,4.07899932861328,"Bayern",310,11.0167,49.9167,"Fränkisches Keuper-Lias-Land","Litzendorf",98
11486,2023,10,311,5,20230502,1,2023-05-02,2023,5,2,113.824768066406,97.5429763793945,45.2992706298828,11.9625228881836,2.03435096740723,"Bayern",380,11.6167,49.9333,"Oberpfälzisch-Obermainisches Hügelland","Aichig",122
11486,2024,10,311,5,20240405,1,2024-04-05,2024,4,5,121.635047912598,81,72.6427841186523,15.8625228881836,3.9886116027832,"Bayern",380,11.6167,49.9333,"Oberpfälzisch-Obermainisches Hügelland","Aichig",95
11506,2023,10,311,5,20230503,1,2023-05-03,2023,5,3,112.577728271484,97.3302230834961,68.1720733642578,11.1114952087402,2.70833683013916,"Bayern",320,10.9833,50.3167,"Mainfränkische Platten","Oberlauter",123
